City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
229,Vanimo,PG,87.03,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
230,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
234,Poum,NC,82.47,broken clouds,-20.2333,164.0167,Gîte kajeon
236,Yantzaza,EC,69.01,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
237,Puerto Cabezas,NI,75.97,clear sky,14.0351,-83.3888,Cabaña Caribe
238,Moron,AR,73.98,light rain,-34.6534,-58.6198,Hotel Morón
240,Tessalit,ML,65.39,overcast clouds,20.1986,1.0114,
243,Melchor De Mencos,GT,71.6,clear sky,17.0686,-89.1522,Xultun Farm
245,Bol,TD,70.39,clear sky,13.4586,14.7147,Hotel 3 Etoiles
250,Chuy,UY,60.76,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
251,Ko Samui,TH,87.71,few clouds,9.5357,99.9357,The Passage
257,Palomares,MX,72.93,overcast clouds,17.15,-95.0667,Hotel Monarca
259,Sao Filipe,CV,74.01,broken clouds,14.8961,-24.4956,Hotel Xaguate
260,Pangkalanbuun,ID,81.72,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
261,Capitao Poco,BR,74.79,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
264,Flinders,AU,60.39,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
266,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
271,Horta,PT,62.19,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
272,Yarada,IN,77.32,few clouds,17.65,83.2667,Vishranti
273,Byron Bay,AU,87.91,overcast clouds,-28.65,153.6167,Backpackers Inn
274,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
276,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
278,San Patricio,US,75.83,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
282,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
284,Brookhaven,US,71.26,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
287,Port Macquarie,AU,84.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
