City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Notodden,NO,2021-12-10 02:08:14,59.5594,9.2585,30.52,94,100,3.98
59,Shihezi,CN,2021-12-10 02:08:14,44.3,86.0333,18.64,86,6,2.17
60,Byron Bay,AU,2021-12-10 02:08:15,-28.65,153.6167,87.91,62,89,1.57
61,Mahebourg,MU,2021-12-10 02:04:45,-20.4081,57.7,74.25,94,40,5.75
62,Severo-Kurilsk,RU,2021-12-10 02:06:34,50.6789,156.125,36.27,80,6,8.43
63,Bethel,US,2021-12-10 02:08:15,41.3712,-73.414,34.05,72,75,3.44
64,Dakoro,NE,2021-12-10 02:08:16,14.5106,6.765,61.74,14,14,11.34
65,Bredasdorp,ZA,2021-12-10 02:08:17,-34.5322,20.0403,64.27,91,99,9.24
66,Cape Town,ZA,2021-12-10 02:08:08,-33.9258,18.4232,64.11,83,5,1.99
67,Saint George,US,2021-12-10 02:08:18,37.1041,-113.5841,48.67,87,90,8.99
68,Vila Velha,BR,2021-12-10 02:04:31,-20.3297,-40.2925,69.94,91,40,4.61
69,Ayagoz,KZ,2021-12-10 02:08:18,47.9714,80.4392,-12.55,89,11,3.71
70,Nikolskoye,RU,2021-12-10 02:08:19,59.7035,30.7861,0.81,96,27,5.35
71,Panguna,PG,2021-12-10 02:08:19,-6.3164,155.4848,81.19,67,100,2.57
72,San Patricio,US,2021-12-10 02:08:20,28.017,-97.5169,75.88,89,17,12.55
73,Selty,RU,2021-12-10 02:08:20,57.3132,52.1345,17.82,98,86,4.65
74,Hofn,IS,2021-12-10 02:08:10,64.2539,-15.2082,37.31,74,93,18.68
75,Cherskiy,RU,2021-12-10 02:08:21,68.75,161.3,-43.73,100,96,5.61
76,Portland,US,2021-12-10 02:08:21,45.5234,-122.6762,42.78,92,40,1.99
77,Brae,GB,2021-12-10 02:08:22,60.3964,-1.353,44.51,76,100,22.53
78,Bystrice Nad Pernstejnem,CZ,2021-12-10 02:08:22,49.5229,16.2615,29.95,99,85,1.14
79,Owando,CG,2021-12-10 02:08:22,-0.4819,15.8999,72.59,83,83,2.13
80,Airai,TL,2021-12-10 02:08:23,-8.9266,125.4092,71.58,67,93,0.76
81,Atuona,PF,2021-12-10 02:08:23,-9.8,-139.0333,78.49,67,62,12.21
82,Dunda,TZ,2021-12-10 02:08:23,-8.1167,34.25,64.92,83,48,1.16
83,Tuatapere,NZ,2021-12-10 02:08:24,-46.1333,167.6833,62.82,55,97,11.05
84,Yanam,IN,2021-12-10 02:08:24,16.7333,82.2167,75.6,86,22,8.57
85,Oliveira,BR,2021-12-10 02:08:24,-20.6964,-44.8272,61.23,67,0,3.18
86,Alice Springs,AU,2021-12-10 02:08:25,-23.7,133.8833,81.95,20,0,10.36
87,Port Blair,IN,2021-12-10 01:58:38,11.6667,92.75,81.23,68,37,14.45
88,Sant Julia De Loria,AD,2021-12-10 02:08:25,42.4625,1.4825,42.8,95,99,3.85
89,Upernavik,GL,2021-12-10 02:08:26,72.7868,-56.1549,0.72,99,100,8.95
90,Victoria,HK,2021-12-10 02:08:01,22.2855,114.1577,73.26,70,0,1.01
91,Arraial Do Cabo,BR,2021-12-10 02:08:15,-22.9661,-42.0278,71.56,78,1,9.17
92,Bengkulu,ID,2021-12-10 02:04:24,-3.8004,102.2655,73.78,94,100,9.89
93,Haines Junction,CA,2021-12-10 01:58:53,60.7522,-137.5108,-9.45,77,100,1.14
94,Isangel,VU,2021-12-10 02:08:27,-19.55,169.2667,85.73,68,23,10.25
95,Belyy Yar,RU,2021-12-10 02:08:27,53.6039,91.3903,8.49,60,0,8.95
96,Dunedin,NZ,2021-12-10 02:08:27,-45.8742,170.5036,60.8,60,55,1.99
97,Pangnirtung,CA,2021-12-10 02:08:28,66.1451,-65.7125,-5.24,92,100,2.66
98,Haldibari,IN,2021-12-10 02:08:28,26.3333,88.7667,68.29,62,0,2.1
99,Tiksi,RU,2021-12-10 02:08:28,71.6872,128.8694,-9.17,97,100,8.21
100,Puntarenas,CR,2021-12-10 02:08:29,9.9763,-84.8384,80.53,80,8,2.59
101,Yichang,CN,2021-12-10 02:08:29,30.7144,111.2847,54.37,55,99,0.31
102,Winterberg,DE,2021-12-10 02:08:29,51.2,8.5333,33.48,96,100,5.91
103,Wanning,CN,2021-12-10 02:08:30,18.8003,110.3967,72.63,68,72,10.38
104,Mount Gambier,AU,2021-12-10 02:08:30,-37.8333,140.7667,63.45,46,21,11.86
105,Georgetown,MY,2021-12-10 02:08:30,5.4112,100.3354,84.88,72,20,1.01
106,Castro,BR,2021-12-10 02:08:31,-24.7911,-50.0119,53.69,93,0,5.66
107,Iranshahr,IR,2021-12-10 02:08:31,27.2025,60.6848,56.17,17,81,2.46
108,Iqaluit,CA,2021-12-10 02:06:08,63.7506,-68.5145,-5.89,99,88,14.2
109,Ahipara,NZ,2021-12-10 02:08:32,-35.1667,173.1667,73.96,57,61,5.21
110,Esperance,AU,2021-12-10 02:08:32,-33.8667,121.9,91.24,37,87,11.83
111,Sitka,US,2021-12-10 02:08:32,57.0531,-135.33,37.29,70,90,10.36
112,Norman Wells,CA,2021-12-10 02:08:28,65.282,-126.8329,-3.96,84,75,3.44
113,Lennoxtown,GB,2021-12-10 02:08:33,55.9726,-4.2,39.42,92,26,1.99
114,Bowen,AU,2021-12-10 02:08:33,-20.0167,148.2333,85.1,64,92,10.8
115,Avarua,CK,2021-12-10 02:04:13,-21.2078,-159.775,80.65,74,40,6.91
116,New Norfolk,AU,2021-12-10 02:08:34,-42.7826,147.0587,60.75,50,97,1.01
117,Bambous Virieux,MU,2021-12-10 02:08:34,-20.3428,57.7575,74.21,94,40,5.75
118,Hilo,US,2021-12-10 02:08:28,19.7297,-155.09,78.53,38,90,6.91
119,Mar Del Plata,AR,2021-12-10 02:08:30,-38.0023,-57.5575,68.09,90,100,1.99
