City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kavaratti,IN,10.5669,72.642,82.42,71,83,10.31,broken clouds
80,Puerto Wilches,CO,7.3483,-73.896,77.07,88,86,1.23,overcast clouds
81,Buchanan,LR,5.8808,-10.0467,76.96,86,8,4.65,light rain
82,Fort Nelson,CA,58.8053,-122.7002,1.27,98,97,1.74,overcast clouds
83,Jaguaribe,BR,-5.8906,-38.6219,81.7,64,100,9.22,overcast clouds
84,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,41,8.97,scattered clouds
85,Buala,SB,-8.145,159.5921,84.61,78,94,7.47,light rain
86,Luderitz,NA,-26.6481,15.1594,59.97,83,0,8.28,clear sky
87,Berlevag,NO,70.8578,29.0864,20.91,78,7,20.92,clear sky
88,Angoche,MZ,-16.2325,39.9086,74.61,84,1,4.85,clear sky
89,Ylivieska,FI,64.0833,24.55,19.31,84,100,9.22,overcast clouds
90,Champerico,GT,14.3,-91.9167,81.28,78,0,7.9,clear sky
91,Megion,RU,61.0296,76.1136,5.02,100,100,4.63,overcast clouds
92,Kamen-Rybolov,RU,44.7481,132.0403,33.44,95,100,4.68,overcast clouds
93,Komsomolskiy,UZ,40.4272,71.7189,30.92,59,0,6.91,clear sky
94,Biltine,TD,14.5333,20.9167,68.94,12,0,8.93,clear sky
95,Leningradskiy,RU,69.3833,178.4167,-12.19,92,100,21.56,overcast clouds
96,Yei,SS,4.095,30.6779,70.39,73,37,0.83,light rain
97,Bredasdorp,ZA,-34.5322,20.0403,64.27,91,99,9.24,overcast clouds
98,Tupiza,BO,-21.45,-65.7167,58.66,72,100,6.44,overcast clouds
99,Cravo Norte,CO,6.3017,-70.2041,81.14,64,72,7.56,broken clouds
100,Kurilsk,RU,45.2333,147.8833,40.08,65,2,7.09,clear sky
101,Nanortalik,GL,60.1432,-45.2371,22.93,87,89,6.06,overcast clouds
102,Portland,US,45.5234,-122.6762,42.78,92,40,1.99,scattered clouds
103,Dargaville,NZ,-35.9333,173.8833,76.86,58,21,7.81,few clouds
104,Warrington,GB,53.3925,-2.5802,45.32,77,40,3.0,scattered clouds
105,Esperance,AU,-33.8667,121.9,91.24,37,87,11.83,overcast clouds
106,Andenes,NO,69.3143,16.1194,24.78,74,83,16.11,broken clouds
107,Sisimiut,GL,66.9395,-53.6735,20.44,91,97,8.1,overcast clouds
108,Shingu,JP,33.7333,135.9833,58.26,75,100,1.19,overcast clouds
109,Varhaug,NO,58.6147,5.6457,41.9,78,90,31.56,light rain
110,Kaka,TM,37.3482,59.6143,52.74,34,1,3.18,clear sky
111,Rafaela,AR,-31.2503,-61.4867,71.06,33,96,17.02,overcast clouds
112,Pavilosta,LV,56.8879,21.1859,26.51,88,100,18.12,overcast clouds
113,Uzhur,RU,55.3036,89.8339,10.2,69,100,12.88,overcast clouds
114,Zheleznodorozhnyy,RU,55.7503,38.0042,7.32,96,6,4.99,clear sky
115,Bayangol,RU,50.6977,103.4656,-2.31,92,81,2.17,broken clouds
116,Vila Velha,BR,-20.3297,-40.2925,69.94,91,40,4.61,scattered clouds
117,Beringovskiy,RU,63.05,179.3167,-6.29,91,100,15.75,overcast clouds
118,Zunyi,CN,27.6867,106.9072,50.4,82,100,4.54,overcast clouds
119,Conde,BR,-7.2597,-34.9075,80.06,83,20,6.91,few clouds
120,Carnot,CF,4.9409,15.8665,71.85,32,23,1.41,few clouds
121,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,5.75,clear sky
122,Kutum,SD,14.2,24.6667,56.82,26,0,5.17,clear sky
123,New Norfolk,AU,-42.7826,147.0587,60.75,50,97,1.01,overcast clouds
124,Partizanskoye,RU,55.5006,94.39,10.29,86,100,25.1,overcast clouds
125,Cherskiy,RU,68.75,161.3,-43.73,100,96,5.61,overcast clouds
126,Pevek,RU,69.7008,170.3133,-24.75,98,99,7.23,overcast clouds
127,Castro Marim,PT,37.2207,-7.4435,53.58,88,7,8.93,clear sky
128,Vao,NC,-22.6667,167.4833,79.27,81,5,12.82,clear sky
129,Songjianghe,CN,42.1859,127.479,32.34,88,100,4.52,light snow
130,Bakchar,RU,57.0186,82.0711,8.33,94,93,7.2,overcast clouds
131,Seabra,BR,-12.4186,-41.7703,67.12,97,100,1.45,overcast clouds
132,Domoni,KM,-12.2569,44.5319,77.97,82,100,8.03,overcast clouds
133,Hambantota,LK,6.1241,81.1185,73.74,100,20,6.91,few clouds
134,Kaitangata,NZ,-46.2817,169.8464,61.93,62,42,8.48,scattered clouds
135,Stephenville,US,32.2207,-98.2023,68.34,60,1,5.75,clear sky
136,Rongcheng,CN,30.634,117.8517,57.85,53,7,4.85,clear sky
137,Suzhou,CN,31.3114,120.6181,55.27,56,0,3.98,clear sky
138,Qabaqcol,AZ,41.72,46.2647,50.04,65,56,2.21,broken clouds
139,Hermanus,ZA,-34.4187,19.2345,64.8,89,98,10.92,overcast clouds
140,Katherine,AU,-14.4667,132.2667,89.92,45,40,4.61,scattered clouds
141,Gambela,ET,8.25,34.5833,76.95,39,46,3.74,scattered clouds
142,Bilma,NE,18.6853,12.9164,62.13,15,100,7.7,overcast clouds
143,Port Hardy,CA,50.6996,-127.4199,38.75,94,100,5.59,light rain
144,Ellisras,ZA,-23.6649,27.7443,69.76,71,100,3.06,overcast clouds
145,Zhangjiakou,CN,40.81,114.8794,30.96,48,95,4.14,overcast clouds
146,Kodiak,US,57.79,-152.4072,36.91,65,75,4.61,broken clouds
147,Sorong,ID,-0.8833,131.25,84.2,72,98,5.14,heavy intensity rain
